,user,age,dominant_hand,shape,hand_used,acc_x-std,acc_y-std,acc_z-std,g-force_x-std,g-force_y-std,g-force_z-std,acc_x-peaks,acc_y-peaks,acc_z-peaks,g-force_x-peaks,g-force_y-peaks,g-force_z-peaks
142,user4,19,R,V,R,0.806630414523199,0.6844467085986281,1.5879741351411578,0.10890508220227284,0.13844953626912465,0.16829927952737886,7,7,6,6,5,0
143,user4,19,R,O,R,2.1627144095293866,1.130952260570107,2.234040503643783,0.18769417168225375,0.16688541435057383,0.22083276631723966,6,0,4,5,0,0
144,user4,19,R,V,R,0.5944804253386763,0.39039476389209365,1.3012182067430293,0.09938244157423415,0.09543585388290507,0.12935178422834748,8,10,4,5,7,0
145,user4,19,R,V,R,0.559010236897756,0.33879638699237635,1.2190617366990006,0.06404982881468607,0.0937348917912092,0.12236230314604336,8,10,3,8,9,0
146,user4,19,R,O,R,1.827062253406745,0.5693496734054979,1.832407633680236,0.15952581618173123,0.162186900848018,0.1875347934809172,1,5,3,3,4,0
147,user4,19,R,S,R,1.764337277535789,0.7333499756841368,0.9278834842796893,0.167574045463466,0.11816167427729513,0.09943801210746428,4,3,9,8,5,0
148,user4,19,R,S,R,1.5577239737633048,0.584457694232469,0.6679206702839101,0.14317183703764655,0.06156095621468149,0.06997498872650704,4,7,14,12,15,0
149,user4,19,R,S,R,1.7603946511638575,0.5913298459682984,0.9495472408901556,0.16589370979988363,0.07994671129218642,0.09705077984870235,5,3,5,5,9,0
150,user4,19,R,O,R,2.344921540932361,0.718225870895876,2.600802932420397,0.18687686194977488,0.218781584853567,0.2568379250474847,3,7,2,4,3,0
151,user4,19,R,O,R,2.063296530135969,0.8234201106190204,2.291111798068161,0.20254867409957047,0.14938756406357237,0.22494885589574193,5,2,3,1,3,0
152,user4,19,R,V,R,0.5524333515667338,0.5150430844231422,1.178313245800485,0.05826894110284142,0.07546950259694388,0.12528812674638476,6,7,7,16,8,0
153,user4,19,R,S,R,1.6023944081095278,0.5369870407501405,0.7838240877655136,0.1587850046074056,0.09529692557138086,0.08054937864789997,7,5,3,5,1,0
154,user4,19,R,O,R,2.2222692048973456,0.6906408369401013,2.309728993813728,0.21919616261714173,0.17367460695068201,0.2247335982882495,6,6,4,5,0,0
155,user4,19,R,V,R,0.5599709562000948,0.4837885697114424,1.197718849596266,0.06465950745265013,0.13191612020430646,0.12575922990367114,8,12,4,8,9,0
